OG0000000	multi-copy orthogroup present in both species
OG0000001	inopinata-specific multi-copy
OG0000002	multi-caeno elegans-absent
OG0000004	inopinata-specific multi-copy
OG0000005	multi-caeno elegans-absent
OG0000006	multi-copy orthogroup present in both species
OG0000007	multi-copy orthogroup present in both species
OG0000008	inopinata-specific multi-copy
OG0000009	multi-copy orthogroup present in both species
OG0000010	multi-caeno elegans-absent
OG0000012	multi-copy orthogroup present in both species
OG0000014	multi-caeno elegans-absent
OG0000016	multi-copy orthogroup present in both species
OG0000018	multi-caeno elegans-absent
OG0000020	multi-caeno inopinata-absent
OG0000022	inopinata-specific multi-copy
OG0000023	single-copy ortholog
OG0000024	multi-caeno elegans-absent
OG0000026	multi-copy orthogroup present in both species
OG0000028	multi-copy orthogroup present in both species
OG0000031	multi-copy orthogroup present in both species
OG0000035	multi-caeno elegans-absent
OG0000037	multi-copy orthogroup present in both species
OG0000038	multi-copy orthogroup present in both species
OG0000040	inopinata-specific multi-copy
OG0000042	multi-copy orthogroup present in both species
OG0000043	multi-caeno inopinata-absent
OG0000044	multi-caeno elegans-absent
OG0000045	multi-caeno elegans-absent
OG0000047	inopinata-specific multi-copy
OG0000048	multi-copy orthogroup present in both species
OG0000049	multi-copy orthogroup present in both species
OG0000051	multi-copy orthogroup present in both species
OG0000052	single-copy ortholog
OG0000053	multi-copy orthogroup present in both species
OG0000054	inopinata-specific multi-copy
OG0000055	multi-caeno inopinata-absent
OG0000056	multi-caeno inopinata-absent
OG0000058	multi-copy orthogroup present in both species
OG0000060	multi-caeno inopinata-absent
OG0000061	multi-caeno elegans-absent
OG0000063	multi-copy orthogroup present in both species
OG0000064	multi-caeno inopinata-absent
OG0000065	multi-caeno elegans-absent
OG0000067	multi-caeno elegans-absent
OG0000068	multi-caeno elegans-absent
OG0000070	multi-copy orthogroup present in both species
OG0000071	multi-caeno elegans-absent
OG0000072	multi-copy orthogroup present in both species
OG0000073	multi-copy orthogroup present in both species
OG0000074	multi-copy orthogroup present in both species
OG0000075	multi-caeno elegans-absent
OG0000076	multi-copy orthogroup present in both species
OG0000077	multi-copy orthogroup present in both species
OG0000078	multi-copy orthogroup present in both species
OG0000079	multi-caeno elegans-absent
OG0000080	multi-copy orthogroup present in both species
OG0000081	multi-caeno elegans-absent
OG0000082	multi-caeno elegans-absent
OG0000083	inopinata-specific multi-copy
OG0000084	multi-copy orthogroup present in both species
OG0000085	single-copy ortholog
OG0000086	multi-caeno elegans-absent
OG0000090	multi-caeno elegans-absent
OG0000091	multi-copy orthogroup present in both species
OG0000092	multi-caeno inopinata-absent
OG0000093	multi-copy orthogroup present in both species
OG0000094	multi-copy orthogroup present in both species
OG0000095	multi-copy orthogroup present in both species
OG0000096	multi-caeno inopinata-absent
OG0000099	multi-copy orthogroup present in both species
OG0000100	multi-copy orthogroup present in both species
OG0000101	multi-caeno inopinata-absent
OG0000103	multi-copy orthogroup present in both species
OG0000104	multi-caeno elegans-absent
OG0000105	multi-copy orthogroup present in both species
OG0000107	multi-copy orthogroup present in both species
OG0000108	elegans-specific multi-copy
OG0000109	multi-caeno inopinata-absent
OG0000111	multi-caeno elegans-absent
OG0000112	multi-copy orthogroup present in both species
OG0000113	inopinata-specific multi-copy
OG0000115	multi-caeno inopinata-absent
OG0000118	multi-copy orthogroup present in both species
OG0000119	multi-caeno inopinata-absent
OG0000121	multi-copy orthogroup present in both species
OG0000122	multi-copy orthogroup present in both species
OG0000123	multi-caeno inopinata-absent
OG0000124	inopinata-specific multi-copy
OG0000125	inopinata-specific multi-copy
OG0000126	multi-caeno elegans-absent
OG0000127	multi-copy orthogroup present in both species
OG0000128	multi-copy orthogroup present in both species
OG0000130	multi-caeno inopinata-absent
OG0000132	multi-caeno elegans-absent
OG0000133	multi-caeno inopinata-absent
OG0000134	elegans-specific multi-copy
OG0000135	inopinata-specific multi-copy
OG0000136	inopinata-specific multi-copy
OG0000137	multi-copy orthogroup present in both species
OG0000138	multi-copy orthogroup present in both species
OG0000139	multi-copy orthogroup present in both species
OG0000140	multi-caeno elegans-absent
OG0000141	multi-copy orthogroup present in both species
OG0000144	elegans-specific multi-copy
OG0000145	multi-caeno elegans-absent
OG0000146	multi-copy orthogroup present in both species
OG0000147	multi-copy orthogroup present in both species
OG0000148	multi-copy orthogroup present in both species
OG0000149	multi-copy orthogroup present in both species
OG0000150	multi-copy orthogroup present in both species
OG0000151	multi-copy orthogroup present in both species
OG0000152	multi-caeno inopinata-absent
OG0000156	multi-copy orthogroup present in both species
OG0000157	multi-caeno inopinata-absent
OG0000158	multi-copy orthogroup present in both species
OG0000159	multi-copy orthogroup present in both species
OG0000160	multi-copy orthogroup present in both species
OG0000161	multi-copy orthogroup present in both species
OG0000162	inopinata-specific multi-copy
OG0000164	multi-copy orthogroup present in both species
OG0000165	multi-copy orthogroup present in both species
OG0000166	multi-copy orthogroup present in both species
OG0000167	multi-copy orthogroup present in both species
OG0000168	multi-copy orthogroup present in both species
OG0000169	multi-copy orthogroup present in both species
OG0000170	multi-copy orthogroup present in both species
OG0000171	multi-copy orthogroup present in both species
OG0000172	multi-copy orthogroup present in both species
OG0000173	multi-copy orthogroup present in both species
OG0000174	multi-copy orthogroup present in both species
